Settlement Name,Settlement Code,All Ages,Under 16,16 to 64,65 & Over
Dirleton,S20001165,530,103,302,125
Dollar,S20001166,2800,539,1602,659
Dornoch,S20001167,1330,192,687,451
Douglas,S20001168,1490,264,898,328
Doune,S20001169,2150,429,1305,416
Drongan,S20001170,3180,617,1980,583
Drumnadrochit,S20001171,1150,207,698,245
Drumoak,S20001172,950,151,604,195
Drymen,S20001173,850,141,485,224
Dufftown,S20001174,1610,242,976,392
Dullatur,S20001175,700,145,495,60
Dumbarton,S20001176,21120,3617,13767,3736
Dumfries,S20001177,34030,5759,21256,7015
Dunbar,S20001178,9030,1871,5424,1735
Dunbeg,S20001179,610,99,394,117
Dunblane,S20001180,9410,1940,5550,1920
Dundee,S20001181,158200,25346,103992,28862
Dundonald,S20001182,2670,473,1534,663
Dunfermline,S20001183,74380,14243,48042,12095
Dunkeld and Birnam,S20001184,1330,176,807,347
Dunlop,S20001185,1150,223,668,259
Dunning,S20001186,970,160,579,231
Dunoon,S20001187,9140,1440,5227,2473
Duns,S20001188,2750,463,1594,693
Eaglesfield,S20001189,660,93,395,172
Eaglesham,S20001190,3400,706,1996,698
Earlston,S20001191,1750,330,1001,419
East Calder,S20001192,5260,900,3491,869
East Kilbride,S20001193,75120,12709,48683,13728
East Linton,S20001194,1810,316,1046,448
East Wemyss,S20001195,1960,294,1277,389
Eastriggs,S20001196,1810,276,1129,405
Ecclefechan,S20001197,880,128,529,223
Edinburgh,S20001198,512150,77444,357658,77048
Edzell,S20001199,860,111,434,315
Elgin,S20001200,24760,4747,15561,4452
Elie and Earlsferry,S20001201,700,69,319,312
Ellon,S20001202,10200,1810,6391,1999
Elphinstone,S20001203,580,105,355,120
Errol,S20001204,1500,281,905,314
Erskine,S20001205,17370,2995,10972,3403
Evanton,S20001206,1360,249,838,273
Eyemouth,S20001207,3610,705,2054,851
Fairlie,S20001208,1400,196,792,412
Falkirk,S20001209,103030,18051,65973,19006
Falkland,S20001210,1150,155,721,274
Fallin,S20001211,2880,594,1899,387
Fauldhouse,S20001212,4780,867,3032,881
Fenwick,S20001213,1200,163,728,309
Findhorn,S20001214,930,147,539,244
Findochty,S20001215,1160,212,684,264
Finstown,S20001216,530,84,350,96
